ingredientName,unit,category,costPerUnit,stockQuantity,reorderLevel,usage
Frozen Cumin,g,Spice,14.97,161,19,used in pasta recipes
Frozen Garlic,g,Vegetable,10.2,71,42,used in burgers
Frozen Garlic,mL,Vegetable,19.67,97,41,used in curry dishes
Frozen Garlic,mL,Vegetable,16.32,87,17,used in soups
Frozen Garlic,mL,Vegetable,2.07,164,34,used in soups
Frozen Garlic,kg,Vegetable,1.26,88,5,used in biryani
Frozen Ginger,pcs,Vegetable,7.07,161,13,used in stir fry
Frozen Ginger,g,Vegetable,3.21,60,6,used in biryani
Frozen Ginger,g,Vegetable,7.75,42,43,used in biryani
Frozen Ginger,kg,Vegetable,5.57,92,18,used in salads
Frozen Ginger,pcs,Vegetable,4.34,158,33,used in stir fry
Frozen Honey,g,Sweetener,12.45,51,30,used in pizza
Frozen Honey,kg,Sweetener,13.75,144,43,used in soups
Frozen Honey,mL,Sweetener,16.73,96,46,used in desserts
Frozen Kidney Beans,L,Legume,16.57,149,26,used in soups
Frozen Kidney Beans,mL,Legume,7.24,122,25,used in pizza
Frozen Kidney Beans,g,Legume,6.48,53,22,used in curry dishes
Frozen Lentils,mL,Legume,19.38,140,44,used in sauces
Frozen Mayonnaise,g,Condiment,17.99,187,22,used in grilled dishes
Frozen Mayonnaise,kg,Condiment,15.89,123,28,used in salads
Frozen Milk,mL,Dairy,17.96,18,27,used in biryani
Frozen Mint,kg,Herb,17.17,169,42,used in biryani
Frozen Mozzarella,mL,Dairy,4.5,182,20,used in stir fry
Frozen Mozzarella,mL,Dairy,16.53,186,15,used in burgers
Frozen Mozzarella,mL,Dairy,12.59,56,13,used in biryani
Frozen Mustard Oil,pcs,Oil,17.43,191,28,used in burgers
Frozen Mustard Oil,kg,Oil,16.62,138,30,used in pasta recipes
Frozen Mustard Oil,L,Oil,5.45,15,31,used in grilled dishes
Frozen Mustard Oil,kg,Oil,7.75,22,25,used in grilled dishes
Frozen Mustard Oil,g,Oil,4.92,90,5,used in desserts
Frozen Mutton,pcs,Meat,1.57,194,38,used in biryani
Frozen Noodles,mL,Pasta,5.8,33,36,used in desserts
Frozen Noodles,L,Pasta,10.92,135,13,used in burgers
Frozen Noodles,L,Pasta,7.09,62,45,used in pasta recipes
Frozen Noodles,L,Pasta,9.62,141,25,used in grilled dishes
Frozen Noodles,L,Pasta,7.25,29,35,used in pizza
Frozen Noodles,L,Pasta,2.78,176,28,used in sauces
Frozen Olive Oil,g,Oil,14.57,139,19,used in grilled dishes
Frozen Olive Oil,L,Oil,12.99,40,50,used in biryani
Frozen Olive Oil,pcs,Oil,17.81,90,9,used in burgers
Frozen Onion,g,Vegetable,5.13,164,10,used in salads
Frozen Onion,pcs,Vegetable,3.53,163,42,used in burgers
Frozen Paneer,mL,Dairy,15.85,71,14,used in grilled dishes
Frozen Paneer,g,Dairy,19.81,19,42,used in soups
Frozen Paneer,g,Dairy,11.61,92,8,used in grilled dishes
Frozen Pasta,mL,Pasta,16.83,174,42,used in sauces
Frozen Pasta,kg,Pasta,18.48,177,27,used in grilled dishes
Frozen Pork,L,Meat,14.27,167,24,used in salads
Frozen Pork,mL,Meat,18.37,116,42,used in salads
Frozen Potato,g,Vegetable,2.02,189,36,used in pasta recipes
Frozen Potato,kg,Vegetable,7.86,25,13,used in desserts
Frozen Rice,kg,Grain,18.85,12,26,used in soups
Frozen Rice,mL,Grain,9.15,88,50,used in pasta recipes
Frozen Rice,pcs,Grain,15.78,144,50,used in curry dishes
Frozen Salmon,mL,Seafood,0.68,71,41,used in sauces
Frozen Salmon,pcs,Seafood,14.98,55,28,used in biryani
Frozen Salt,mL,Spice,5.59,94,32,used in soups
Frozen Salt,pcs,Spice,0.87,148,11,used in curry dishes
Frozen Shrimp,kg,Seafood,19.09,128,50,used in pizza
Frozen Shrimp,g,Seafood,14.66,49,24,used in biryani
Frozen Soy Sauce,mL,Condiment,3.46,168,14,used in sauces
Frozen Soy Sauce,pcs,Condiment,17.11,77,45,used in grilled dishes
Frozen Spaghetti,pcs,Pasta,18.43,29,20,used in grilled dishes
Frozen Spaghetti,kg,Pasta,0.91,48,23,used in stir fry
Frozen Spinach,pcs,Vegetable,15.63,186,18,used in curry dishes
Frozen Spinach,kg,Vegetable,5.58,97,28,used in desserts
Frozen Spinach,L,Vegetable,9.3,143,17,used in grilled dishes
Frozen Spinach,mL,Vegetable,3.16,71,23,used in sauces
Frozen Spinach,g,Vegetable,15.78,40,36,used in pasta recipes
Frozen Sugar,g,Sweetener,12.76,86,47,used in desserts
Frozen Sugar,L,Sweetener,16.98,84,13,used in salads
Frozen Sugar,kg,Sweetener,8.43,135,28,used in sauces
Frozen Sunflower Oil,mL,Oil,12.83,89,11,used in pizza
Frozen Sunflower Oil,g,Oil,8.78,13,31,used in curry dishes
Frozen Sunflower Oil,kg,Oil,13.77,199,15,used in burgers
Frozen Tomato,g,Vegetable,18.08,11,28,used in desserts
Frozen Tomato,mL,Vegetable,5.71,73,19,used in stir fry
Frozen Tomato,kg,Vegetable,2.36,107,41,used in desserts
Frozen Tomato Ketchup,pcs,Condiment,4.49,86,21,used in sauces
Frozen Tomato Ketchup,L,Condiment,1.64,72,36,used in pasta recipes
Frozen Tomato Ketchup,kg,Condiment,14.93,26,14,used in pasta recipes
Frozen Tomato Ketchup,kg,Condiment,16.97,80,44,used in salads
Frozen Tuna,mL,Seafood,14.27,71,9,used in burgers
Frozen Turmeric,g,Spice,7.09,82,23,used in soups
Frozen Turmeric,g,Spice,2.85,23,47,used in pizza
Frozen Turmeric,L,Spice,5.4,66,35,used in pasta recipes
Frozen Vinegar,mL,Condiment,3.41,133,43,used in sauces
Frozen Vinegar,pcs,Condiment,12.77,133,44,used in salads
Frozen Vinegar,L,Condiment,9.35,94,48,used in soups
Frozen Wheat Flour,mL,Flour,4.56,169,32,used in biryani
Frozen Wheat Flour,kg,Flour,17.52,67,5,used in sauces
Frozen Wheat Flour,kg,Flour,1.41,57,29,used in burgers
Frozen Wheat Flour,g,Flour,5.74,46,7,used in desserts
Frozen Yogurt,mL,Dairy,4.13,188,14,used in burgers
Frozen Yogurt,mL,Dairy,1.19,188,20,used in pizza
Frozen Yogurt,pcs,Dairy,9.86,45,12,used in sauces
Frozen Yogurt,g,Dairy,10.28,154,11,used in desserts
Ground All-purpose Flour,kg,Flour,2.83,94,38,used in desserts
Ground Basil,L,Herb,13.97,152,30,used in stir fry
Ground Basil,kg,Herb,2.72,24,22,used in pasta recipes
Ground Basil,g,Herb,15.83,157,39,used in pizza
Ground Basil,L,Herb,2.8,30,33,used in biryani
Ground Basmati Rice,g,Grain,3.31,85,47,used in pasta recipes
Ground Basmati Rice,L,Grain,18.63,88,31,used in grilled dishes
Ground Beef,mL,Meat,2.16,175,44,used in biryani
Ground Beef,kg,Meat,1.17,38,48,used in salads
Ground Beef,mL,Meat,14.27,193,19,used in sauces
Ground Beef,pcs,Meat,1.06,146,44,used in curry dishes
Ground Black Pepper,L,Spice,6.6,120,27,used in desserts
Ground Black Pepper,mL,Spice,13.35,135,40,used in pasta recipes
Ground Brown Rice,pcs,Grain,8.73,39,16,used in pasta recipes
Ground Brown Rice,mL,Grain,5.07,108,44,used in stir fry
Ground Butter,pcs,Dairy,16.57,129,14,used in pasta recipes
Ground Cabbage,mL,Vegetable,15.09,25,8,used in curry dishes
Ground Cabbage,kg,Vegetable,18.68,27,25,used in desserts
Ground Cabbage,g,Vegetable,1.57,142,22,used in pasta recipes
Ground Cabbage,L,Vegetable,10.08,28,5,used in burgers
Ground Carrot,pcs,Vegetable,16.81,144,20,used in soups
Ground Carrot,pcs,Vegetable,11.05,61,28,used in curry dishes
Ground Carrot,kg,Vegetable,2.55,69,28,used in pizza
Ground Cheddar Cheese,pcs,Dairy,19.07,51,36,used in curry dishes
Ground Cheddar Cheese,kg,Dairy,10.99,52,5,used in salads
Ground Chicken Breast,pcs,Poultry,17.34,196,24,used in sauces
Ground Chicken Breast,g,Poultry,1.7,68,10,used in stir fry
Ground Chicken Thigh,mL,Poultry,18.82,21,41,used in curry dishes
Ground Chicken Thigh,pcs,Poultry,4.33,153,13,used in soups
Ground Chickpeas,g,Legume,14.86,94,10,used in biryani
Ground Chickpeas,L,Legume,8.07,104,32,used in grilled dishes
Ground Chili Powder,g,Spice,15.84,135,32,used in pasta recipes
Ground Chili Powder,mL,Spice,15.44,10,29,used in desserts
Ground Chili Powder,kg,Spice,0.56,136,13,used in salads
Ground Cilantro,pcs,Herb,14.27,177,13,used in curry dishes
Ground Cilantro,kg,Herb,0.56,166,36,used in burgers
Ground Coriander Powder,g,Spice,18.72,75,34,used in desserts
Ground Coriander Powder,mL,Spice,13.47,64,50,used in pasta recipes
Ground Cumin,L,Spice,12.16,25,48,used in pizza
Ground Cumin,mL,Spice,13.88,25,43,used in desserts
Ground Cumin,L,Spice,16.04,44,20,used in curry dishes
Ground Cumin,L,Spice,4.86,196,37,used in biryani
Ground Garlic,g,Vegetable,13.78,161,33,used in biryani
Ground Garlic,g,Vegetable,2.44,59,20,used in desserts
Ground Garlic,g,Vegetable,9.5,138,41,used in pasta recipes
Ground Ginger,kg,Vegetable,1.54,129,17,used in desserts
Ground Ginger,kg,Vegetable,15.7,153,21,used in salads
Ground Ginger,L,Vegetable,18.16,84,45,used in desserts
Ground Ginger,g,Vegetable,17.99,59,31,used in burgers
Ground Honey,g,Sweetener,8.86,86,26,used in curry dishes
Ground Kidney Beans,pcs,Legume,3.62,176,29,used in soups
Ground Lentils,L,Legume,0.71,41,14,used in desserts
Ground Mayonnaise,g,Condiment,18.38,94,21,used in curry dishes
Ground Mayonnaise,mL,Condiment,8.14,154,5,used in salads
Ground Milk,L,Dairy,13.52,115,24,used in biryani
Ground Mint,mL,Herb,10.25,172,8,used in burgers
Ground Mint,L,Herb,17.54,133,21,used in curry dishes
Ground Mozzarella,mL,Dairy,8.79,61,36,used in desserts
Ground Mozzarella,pcs,Dairy,1.89,28,18,used in salads
Ground Mozzarella,mL,Dairy,2.22,162,6,used in desserts
Ground Mozzarella,mL,Dairy,11.61,142,9,used in burgers
Ground Mozzarella,pcs,Dairy,16.93,174,23,used in sauces
Ground Mustard Oil,L,Oil,3.28,13,28,used in desserts
Ground Mustard Oil,mL,Oil,17.36,131,17,used in desserts
Ground Mustard Oil,kg,Oil,3.05,154,38,used in biryani
Ground Mutton,kg,Meat,6.3,52,31,used in burgers
Ground Mutton,kg,Meat,2.13,93,18,used in salads
Ground Mutton,mL,Meat,8.92,98,12,used in salads
Ground Mutton,L,Meat,2.39,180,15,used in sauces
Ground Noodles,g,Pasta,7.95,149,33,used in biryani
Ground Noodles,mL,Pasta,0.59,113,44,used in sauces
Ground Olive Oil,kg,Oil,2.94,82,40,used in salads
Ground Olive Oil,pcs,Oil,5.57,164,31,used in soups
Ground Onion,L,Vegetable,2.12,190,23,used in stir fry
Ground Paneer,mL,Dairy,15.98,150,49,used in salads
Ground Paneer,kg,Dairy,13.49,60,31,used in pizza
Ground Paneer,kg,Dairy,4.7,39,33,used in curry dishes
Ground Pasta,g,Pasta,6.31,30,42,used in pizza
Ground Pasta,pcs,Pasta,7.92,97,46,used in grilled dishes
Ground Pasta,g,Pasta,18.56,123,38,used in salads
Ground Pork,L,Meat,10.13,15,48,used in biryani
Ground Potato,mL,Vegetable,15.85,68,37,used in desserts
Ground Rice,mL,Grain,16.16,174,8,used in grilled dishes
Ground Rice,pcs,Grain,9.55,118,6,used in pasta recipes
Ground Salmon,mL,Seafood,8.78,147,48,used in sauces
Ground Salt,pcs,Spice,19.92,138,20,used in salads
Ground Salt,kg,Spice,12.09,174,47,used in stir fry
Ground Salt,L,Spice,2.43,58,41,used in burgers
Ground Salt,g,Spice,5.46,137,9,used in sauces
Ground Salt,mL,Spice,18.39,158,13,used in sauces
Ground Shrimp,kg,Seafood,0.68,44,32,used in pasta recipes
Ground Shrimp,L,Seafood,19.03,97,16,used in desserts
Ground Soy Sauce,g,Condiment,19.76,84,25,used in pizza
Ground Soy Sauce,L,Condiment,6.8,29,23,used in salads
Ground Spaghetti,pcs,Pasta,10.2,158,10,used in sauces
Ground Spaghetti,g,Pasta,16.01,11,16,used in biryani
Ground Spinach,kg,Vegetable,7.88,27,23,used in burgers
Ground Sugar,pcs,Sweetener,9.06,10,13,used in sauces
Ground Sunflower Oil,g,Oil,2.71,80,44,used in salads
Ground Sunflower Oil,kg,Oil,10.75,155,28,used in soups
Ground Tomato,kg,Vegetable,6.54,139,18,used in curry dishes
Ground Tomato,L,Vegetable,15.32,50,29,used in pasta recipes
Ground Tomato,kg,Vegetable,17.9,126,48,used in biryani
Ground Tomato,mL,Vegetable,9.43,175,24,used in pizza
Ground Tomato Ketchup,kg,Condiment,12.03,123,5,used in stir fry
Ground Tomato Ketchup,g,Condiment,15.52,169,32,used in desserts
Ground Tomato Ketchup,kg,Condiment,17.08,52,17,used in soups
Ground Tomato Ketchup,mL,Condiment,12.7,125,27,used in biryani
Ground Tomato Ketchup,mL,Condiment,5,191,25,used in burgers
Ground Tuna,mL,Seafood,17.69,47,10,used in pasta recipes
Ground Tuna,L,Seafood,8.49,164,8,used in soups
Ground Turmeric,mL,Spice,10.82,149,21,used in soups
Ground Turmeric,mL,Spice,9.72,197,34,used in salads
Ground Vinegar,mL,Condiment,8.71,16,37,used in curry dishes
Ground Vinegar,g,Condiment,3.63,177,35,used in pizza
Ground Vinegar,L,Condiment,18.93,189,25,used in burgers
Ground Vinegar,pcs,Condiment,13.6,177,43,used in stir fry
Ground Vinegar,mL,Condiment,2.38,62,43,used in soups
Ground Wheat Flour,L,Flour,17.05,118,39,used in desserts
Ground Wheat Flour,pcs,Flour,7.27,115,30,used in stir fry
Ground Yogurt,mL,Dairy,12.64,48,25,used in pizza
Ground Yogurt,kg,Dairy,17.6,81,33,used in pizza
Organic All-purpose Flour,pcs,Flour,9.4,193,39,used in salads
Organic All-purpose Flour,pcs,Flour,13.86,128,45,used in sauces
Organic All-purpose Flour,kg,Flour,9.13,33,49,used in desserts
Organic Basil,mL,Herb,13.75,101,38,used in desserts
Organic Basil,g,Herb,17.58,12,45,used in burgers
Organic Basmati Rice,pcs,Grain,2.38,137,37,used in sauces
Organic Basmati Rice,pcs,Grain,8.67,39,40,used in grilled dishes
Organic Basmati Rice,L,Grain,11.98,156,37,used in salads
Organic Beef,mL,Meat,6.07,60,42,used in curry dishes
Organic Beef,kg,Meat,6.91,34,47,used in sauces
Organic Black Pepper,pcs,Spice,17.09,71,26,used in pasta recipes
Organic Black Pepper,g,Spice,1.4,43,34,used in sauces
Organic Brown Rice,pcs,Grain,18.19,100,29,used in sauces
Organic Brown Rice,L,Grain,19.98,73,23,used in desserts
Organic Brown Rice,L,Grain,12.05,42,36,used in grilled dishes
Organic Butter,pcs,Dairy,17.69,115,23,used in soups
Organic Cabbage,L,Vegetable,10.64,142,25,used in curry dishes
Organic Cabbage,g,Vegetable,5.59,39,28,used in stir fry
Organic Carrot,g,Vegetable,6.55,171,35,used in curry dishes
Organic Carrot,pcs,Vegetable,6.13,36,27,used in pasta recipes
Organic Carrot,mL,Vegetable,17.54,64,21,used in soups
Organic Cheddar Cheese,mL,Dairy,18.81,126,29,used in stir fry
Organic Cheddar Cheese,kg,Dairy,11.73,85,47,used in curry dishes
Organic Chicken Breast,pcs,Poultry,1.58,57,13,used in curry dishes
Organic Chicken Breast,g,Poultry,14.78,61,31,used in curry dishes
Organic Chicken Thigh,kg,Poultry,2.29,23,43,used in pizza
Organic Chicken Thigh,mL,Poultry,14.62,181,9,used in pasta recipes
Organic Chicken Thigh,kg,Poultry,7.78,98,21,used in biryani
Organic Chicken Thigh,kg,Poultry,11.44,132,49,used in burgers
Organic Chickpeas,pcs,Legume,14.42,171,47,used in grilled dishes
Organic Chickpeas,mL,Legume,1.73,156,14,used in soups
Organic Chili Powder,mL,Spice,9.51,138,37,used in soups
Organic Chili Powder,mL,Spice,4.25,78,36,used in stir fry
Organic Cilantro,g,Herb,19.78,182,39,used in sauces
Organic Cilantro,L,Herb,4.72,12,45,used in desserts
Organic Cilantro,g,Herb,1.81,175,18,used in desserts
Organic Coriander Powder,L,Spice,14.92,59,7,used in soups
Organic Cumin,mL,Spice,19.08,78,50,used in pizza
Organic Cumin,mL,Spice,10.73,142,31,used in biryani
Organic Garlic,g,Vegetable,15.13,155,42,used in pasta recipes
Organic Ginger,mL,Vegetable,3.71,93,43,used in burgers
Organic Ginger,L,Vegetable,10.35,152,9,used in sauces
Organic Honey,pcs,Sweetener,7.61,111,48,used in sauces
Organic Honey,kg,Sweetener,6.38,173,24,used in curry dishes
Organic Kidney Beans,pcs,Legume,6.83,16,24,used in pasta recipes
Organic Lentils,g,Legume,7.93,61,24,used in burgers
Organic Lentils,pcs,Legume,17.92,105,10,used in sauces
Organic Lentils,mL,Legume,15.75,23,18,used in curry dishes
Organic Mayonnaise,L,Condiment,17.47,170,32,used in pizza
Organic Mayonnaise,pcs,Condiment,4.09,85,46,used in stir fry
Organic Mayonnaise,pcs,Condiment,13.68,76,35,used in pizza
Organic Mayonnaise,L,Condiment,11.69,73,35,used in curry dishes
Organic Milk,kg,Dairy,1.17,103,36,used in soups
Organic Mint,mL,Herb,15.06,89,16,used in sauces
Organic Mint,kg,Herb,7.09,108,8,used in burgers
Organic Mozzarella,pcs,Dairy,18.8,29,35,used in curry dishes
Organic Mustard Oil,kg,Oil,17.16,51,39,used in biryani
Organic Mustard Oil,pcs,Oil,7.25,52,49,used in biryani
Organic Mustard Oil,g,Oil,4.64,139,28,used in biryani
Organic Mutton,L,Meat,6.73,162,40,used in sauces
Organic Mutton,pcs,Meat,15.26,164,15,used in pizza
Organic Noodles,g,Pasta,15.28,66,9,used in desserts
Organic Noodles,L,Pasta,15.43,138,45,used in pasta recipes
Organic Olive Oil,pcs,Oil,8.22,110,7,used in curry dishes
Organic Olive Oil,g,Oil,4.76,104,15,used in curry dishes
Organic Onion,kg,Vegetable,9.21,108,50,used in pizza
Organic Onion,g,Vegetable,5.66,87,26,used in pizza
Organic Paneer,g,Dairy,14.06,183,35,used in stir fry
Organic Paneer,L,Dairy,8.1,116,25,used in sauces
Organic Pasta,pcs,Pasta,18.27,125,43,used in sauces
Organic Pasta,mL,Pasta,10.64,35,16,used in biryani
Organic Pasta,g,Pasta,5.12,124,18,used in desserts
Organic Pork,pcs,Meat,17.78,69,24,used in pasta recipes
Organic Pork,kg,Meat,13.81,181,43,used in biryani
Organic Pork,mL,Meat,19.95,185,9,used in desserts
Organic Potato,pcs,Vegetable,8.42,143,6,used in biryani
Organic Potato,mL,Vegetable,5.23,89,47,used in biryani
Organic Potato,L,Vegetable,14.84,186,43,used in pasta recipes
Organic Potato,mL,Vegetable,0.72,32,16,used in desserts
Organic Potato,mL,Vegetable,15.5,68,25,used in curry dishes
Organic Rice,pcs,Grain,7.28,35,15,used in biryani
Organic Rice,L,Grain,6.92,167,23,used in salads
Organic Salmon,L,Seafood,16.89,166,28,used in pasta recipes
Organic Salmon,pcs,Seafood,1.78,144,20,used in burgers
Organic Salmon,mL,Seafood,9.95,82,24,used in grilled dishes
Organic Salmon,pcs,Seafood,15.21,106,48,used in burgers
Organic Salt,L,Spice,1.64,199,48,used in grilled dishes
Organic Salt,g,Spice,0.84,175,8,used in curry dishes
Organic Salt,pcs,Spice,3.67,70,42,used in curry dishes
Organic Salt,g,Spice,2.6,196,49,used in pizza
Organic Salt,L,Spice,7.58,174,23,used in grilled dishes
Organic Shrimp,kg,Seafood,1.82,101,8,used in pasta recipes
Organic Shrimp,g,Seafood,13.39,55,28,used in soups
Organic Soy Sauce,L,Condiment,4.11,159,7,used in sauces
Organic Soy Sauce,kg,Condiment,0.55,42,8,used in burgers
Organic Soy Sauce,mL,Condiment,14.7,92,32,used in biryani
Organic Spaghetti,g,Pasta,18.42,18,35,used in curry dishes
Organic Spaghetti,L,Pasta,3.52,60,45,used in grilled dishes
Organic Spaghetti,mL,Pasta,6.37,172,40,used in grilled dishes
Organic Spinach,L,Vegetable,13.91,129,6,used in sauces
Organic Spinach,L,Vegetable,15.84,15,42,used in grilled dishes
Organic Sugar,kg,Sweetener,16.17,147,42,used in sauces
Organic Sunflower Oil,g,Oil,13.63,138,32,used in pasta recipes
Organic Tomato,mL,Vegetable,13.69,26,29,used in salads
Organic Tomato,L,Vegetable,5.73,189,41,used in pizza
Organic Tomato,g,Vegetable,14.22,19,22,used in sauces
Organic Tomato Ketchup,pcs,Condiment,12.23,73,15,used in biryani
Organic Tuna,mL,Seafood,14.94,18,48,used in pasta recipes
Organic Tuna,mL,Seafood,4.69,127,8,used in grilled dishes
Organic Tuna,pcs,Seafood,18.14,124,18,used in sauces
Organic Tuna,L,Seafood,14.07,177,33,used in stir fry
Organic Turmeric,g,Spice,6.31,155,41,used in salads
Organic Turmeric,pcs,Spice,9.94,81,49,used in salads
Organic Vinegar,g,Condiment,7.84,119,15,used in biryani
Organic Vinegar,pcs,Condiment,7.93,112,42,used in salads
Organic Wheat Flour,g,Flour,9.85,53,16,used in curry dishes
Organic Yogurt,g,Dairy,16.25,149,44,used in pizza
Organic Yogurt,kg,Dairy,7.89,60,40,used in soups
Sliced All-purpose Flour,pcs,Flour,9.71,32,13,used in desserts
Sliced Basil,pcs,Herb,17.23,134,41,used in grilled dishes
Sliced Basil,L,Herb,4.82,34,21,used in pizza
Sliced Basmati Rice,mL,Grain,19.26,120,37,used in soups
Sliced Beef,pcs,Meat,1.68,47,38,used in biryani
Sliced Beef,mL,Meat,6.03,46,43,used in sauces
Sliced Black Pepper,mL,Spice,13.59,74,46,used in stir fry
Sliced Black Pepper,pcs,Spice,16.83,78,8,used in burgers
Sliced Black Pepper,mL,Spice,1.19,40,24,used in burgers
Sliced Brown Rice,g,Grain,13.91,196,39,used in pizza
Sliced Brown Rice,pcs,Grain,5.39,188,13,used in salads
Sliced Butter,mL,Dairy,19.44,171,25,used in sauces
Sliced Butter,g,Dairy,14.11,180,17,used in pizza
Sliced Butter,g,Dairy,9.33,127,30,used in grilled dishes
Sliced Cabbage,g,Vegetable,12.83,13,16,used in pasta recipes
Sliced Cabbage,kg,Vegetable,6.42,156,19,used in biryani
Sliced Cabbage,g,Vegetable,2.36,99,20,used in stir fry
Sliced Carrot,kg,Vegetable,19.89,51,46,used in salads
Sliced Carrot,kg,Vegetable,18.3,95,40,used in burgers
Sliced Carrot,kg,Vegetable,17.26,126,16,used in grilled dishes
Sliced Carrot,kg,Vegetable,14.74,188,24,used in sauces
Sliced Carrot,mL,Vegetable,5.1,119,38,used in desserts
Sliced Cheddar Cheese,kg,Dairy,8.4,117,22,used in biryani
Sliced Cheddar Cheese,kg,Dairy,6.76,176,28,used in pizza
Sliced Cheddar Cheese,kg,Dairy,9.27,77,26,used in biryani
Sliced Cheddar Cheese,g,Dairy,12.2,178,13,used in stir fry
Sliced Chicken Breast,L,Poultry,13.73,113,17,used in desserts
Sliced Chicken Thigh,mL,Poultry,12.7,75,26,used in soups
Sliced Chicken Thigh,g,Poultry,15.27,165,6,used in desserts
Sliced Chicken Thigh,pcs,Poultry,3.7,99,45,used in sauces
Sliced Chicken Thigh,kg,Poultry,5.11,170,24,used in desserts
Sliced Chicken Thigh,pcs,Poultry,8.71,30,30,used in curry dishes
Sliced Chickpeas,kg,Legume,14.4,82,9,used in sauces
Sliced Chickpeas,g,Legume,15.48,144,5,used in grilled dishes
Sliced Chickpeas,g,Legume,12.9,74,49,used in pizza
Sliced Chickpeas,g,Legume,10.51,184,11,used in desserts
Sliced Chili Powder,kg,Spice,11.2,15,22,used in desserts
Sliced Cilantro,pcs,Herb,12.31,174,23,used in curry dishes
Sliced Cilantro,kg,Herb,3.28,82,44,used in sauces
Sliced Cilantro,mL,Herb,4.23,173,17,used in salads
Sliced Coriander Powder,pcs,Spice,16.23,155,6,used in sauces
Sliced Coriander Powder,mL,Spice,6.68,155,48,used in biryani
Sliced Coriander Powder,L,Spice,18.53,163,32,used in stir fry
Sliced Cumin,g,Spice,7.34,124,44,used in grilled dishes
Sliced Cumin,g,Spice,4.05,136,19,used in stir fry
Sliced Cumin,g,Spice,19.05,57,44,used in stir fry
Sliced Garlic,g,Vegetable,16.35,153,18,used in burgers
Sliced Garlic,mL,Vegetable,3.27,136,7,used in desserts
Sliced Garlic,pcs,Vegetable,16.94,43,19,used in pizza
Sliced Garlic,g,Vegetable,18.2,12,50,used in grilled dishes
Sliced Ginger,g,Vegetable,10.37,131,35,used in soups
Sliced Ginger,L,Vegetable,14.59,20,46,used in burgers
Sliced Ginger,mL,Vegetable,12.75,148,43,used in salads
Sliced Honey,kg,Sweetener,14.14,174,40,used in stir fry
Sliced Honey,mL,Sweetener,8.05,97,32,used in soups
Sliced Honey,L,Sweetener,13.72,60,9,used in biryani
Sliced Kidney Beans,pcs,Legume,16.21,109,38,used in salads
Sliced Kidney Beans,g,Legume,15.44,125,42,used in grilled dishes
Sliced Kidney Beans,L,Legume,6.9,178,46,used in pasta recipes
Sliced Kidney Beans,L,Legume,3.19,17,7,used in stir fry
Sliced Lentils,kg,Legume,6.9,74,17,used in stir fry
Sliced Lentils,kg,Legume,16.98,162,38,used in sauces
Sliced Mayonnaise,g,Condiment,18.07,61,14,used in sauces
Sliced Milk,g,Dairy,2.62,148,12,used in stir fry
Sliced Milk,g,Dairy,15.46,14,43,used in stir fry
Sliced Mint,mL,Herb,12.48,28,42,used in stir fry
Sliced Mint,kg,Herb,2.58,95,22,used in salads
Sliced Mint,g,Herb,5.08,109,11,used in grilled dishes
Sliced Mozzarella,L,Dairy,15.06,130,32,used in burgers
Sliced Mozzarella,L,Dairy,0.61,91,17,used in curry dishes
Sliced Mozzarella,g,Dairy,1.44,153,8,used in pizza
Sliced Mustard Oil,mL,Oil,4.92,84,40,used in grilled dishes
Sliced Mustard Oil,g,Oil,5.54,15,37,used in curry dishes
Sliced Mustard Oil,pcs,Oil,5.89,58,7,used in curry dishes
Sliced Mustard Oil,kg,Oil,13.56,41,40,used in curry dishes
Sliced Mustard Oil,pcs,Oil,4.92,49,42,used in burgers
Sliced Mutton,g,Meat,6.61,67,5,used in pizza
Sliced Mutton,mL,Meat,3.06,99,36,used in grilled dishes
Sliced Mutton,g,Meat,8.96,58,29,used in pizza
Sliced Mutton,mL,Meat,7.2,129,10,used in burgers
Sliced Mutton,kg,Meat,16.96,190,31,used in sauces
Sliced Noodles,pcs,Pasta,13.54,176,7,used in desserts
Sliced Olive Oil,pcs,Oil,5.51,86,7,used in pasta recipes
Sliced Olive Oil,kg,Oil,18.33,92,5,used in salads
Sliced Onion,L,Vegetable,10.71,15,8,used in burgers
Sliced Onion,kg,Vegetable,17.33,48,24,used in curry dishes
Sliced Onion,mL,Vegetable,6.01,55,10,used in curry dishes
Sliced Paneer,L,Dairy,5.75,77,45,used in biryani
Sliced Paneer,mL,Dairy,5.29,160,39,used in burgers
Sliced Paneer,mL,Dairy,1.86,30,31,used in salads
Sliced Paneer,g,Dairy,7.11,69,11,used in stir fry
Sliced Paneer,g,Dairy,10.39,51,26,used in pizza
Sliced Paneer,g,Dairy,9.98,156,31,used in burgers
Sliced Pasta,g,Pasta,7.91,65,31,used in sauces
Sliced Pasta,kg,Pasta,10.21,133,24,used in stir fry
Sliced Pasta,mL,Pasta,19.42,192,24,used in soups
Sliced Pork,mL,Meat,10.56,158,7,used in grilled dishes
Sliced Pork,kg,Meat,5.5,80,20,used in salads
Sliced Pork,L,Meat,4.48,189,17,used in soups
Sliced Pork,kg,Meat,15.18,55,27,used in desserts
Sliced Potato,g,Vegetable,8.57,39,5,used in grilled dishes
Sliced Potato,mL,Vegetable,4.77,76,24,used in sauces
Sliced Potato,mL,Vegetable,14.27,54,49,used in burgers
Sliced Rice,mL,Grain,19.11,121,18,used in soups
