Dish Name,Ingredients Used,Price,Time Consumed,Menu Group
Chana Masala,"paneer, butter, cream, tomato, onion",589.35,28,Veg
Gulab Jamun Creamy,"okra, onion, tomato, garlic",301.85,16,Dessert
Tandoori Platter Deluxe,"chicken, butter, cream, tomato, spices",93.51,34,Combo
Hara Bhara Kebab Spicy,"okra, onion, tomato, garlic",566.36,37,Starter
Veg Samosa Tandoori,"mushroom, capsicum, onion, garlic",317.16,11,Starter
Lemon Soda Special,"noodles, vegetables, soy sauce",452.98,26,Beverage
Mango Lassi Special,"milk, sugar, rose water",545.39,42,Beverage
Chicken Vindaloo Tandoori,"mango, yogurt, sugar",484.46,20,Non-Veg
Green Tea Fresh,"noodles, vegetables, soy sauce",148.79,37,Beverage
Fish Curry Spicy,"chicken, butter, cream, tomato, spices",162.41,27,Non-Veg
Onion Bhaji Tandoori,"okra, onion, tomato, garlic",646.4,30,Starter
Cheese Corn Balls Classic,"spinach, paneer, cream, garlic",605.91,40,Main Course
Mutton Rogan Josh,"lentils, butter, cream, tomato",171.83,18,Non-Veg
Chana Masala Special,"noodles, vegetables, soy sauce",372.66,36,Veg
Non-Veg Thali Special,"lentils, butter, cream, tomato",323.93,23,Combo
Methi Malai Paneer Tandoori,"potato, cauliflower, spices",491.21,41,Veg
Kheer Classic,"potato, cauliflower, spices",575.43,44,Dessert
Hara Bhara Kebab Special,"milk, sugar, rose water",305.44,16,Veg
Kheer,"mango, yogurt, sugar",285.25,14,Dessert
Bhindi Masala Tandoori,"fish, tomato, onion, spices",648.17,38,Veg
Aloo Gobi Special,"spinach, paneer, cream, garlic",600.68,25,Main Course
Onion Bhaji,"noodles, vegetables, soy sauce",583.84,44,Starter
Fish Amritsari Tandoori,"lentils, butter, cream, tomato",538.13,11,Non-Veg
Mushroom Masala Special,"fish, tomato, onion, spices",567.99,24,Main Course
Veg Thali,"egg, onion, tomato, spices",243.69,15,Combo
Mango Lassi Fresh,"milk, sugar, rose water",224.05,6,Beverage
Aloo Jeera Tandoori,"paneer, butter, cream, tomato, onion",341.39,35,Main Course
Mini Thali,"noodles, vegetables, soy sauce",535.16,27,Combo
Tandoori Platter,"egg, onion, tomato, spices",245.75,30,Combo
Veg Thali,"potato, cauliflower, spices",275.39,30,Combo
Egg Curry Tandoori,"paneer, butter, cream, tomato, onion",289.81,25,Non-Veg
Hot Coffee Special,"noodles, vegetables, soy sauce",448.44,37,Beverage
Papdi Chaat Spicy,"potato, cauliflower, spices",495.56,10,Starter
Chana Masala,"mango, yogurt, sugar",134.25,18,Main Course
Green Tea Special,"mushroom, capsicum, onion, garlic",236.57,16,Beverage
Mutton Rogan Josh,"fish, tomato, onion, spices",263.38,8,Non-Veg
Aloo Gobi Classic,"egg, onion, tomato, spices",619.03,39,Veg
Mushroom 65 Spicy,"egg, onion, tomato, spices",89.29,20,Starter
Hot Coffee,"okra, onion, tomato, garlic",486.92,22,Beverage
Green Tea Special,"rice, yogurt, spices, saffron",472.07,27,Beverage
Prawn Masala Special,"milk, sugar, rose water",300.5,38,Non-Veg
Dish Name,Ingredients Used,Price,Time Consumed,Menu Group
Creamy Kadai Paneer,"chicken, butter, cream, tomato, spices",440.92,6,Main Course
Creamy Kheer,"mushroom, capsicum, onion, garlic",377.03,21,Dessert
Mango Kulfi,"lentils, butter, cream, tomato",575.68,29,Dessert
Tandoori Chicken Vindaloo,"flour, garlic, butter",188.77,12,Non-Veg
Special Veg Samosa,"rice, yogurt, spices, saffron",296.43,34,Non-Veg
Tandoori Gulab Jamun,"okra, onion, tomato, garlic",246.18,39,Dessert
Classic Mango Lassi,"chicken, rice, yogurt, spices",636.63,14,Beverage
Spicy Egg Curry,"egg, onion, tomato, spices",265.18,12,Non-Veg
Spicy Paneer Tikka,"paneer, butter, cream, tomato, onion",489.02,6,Dessert
Spicy Fresh Lime Water,"milk, sugar, rose water",280.09,32,Beverage
Spicy Chicken Malai Tikka,"lentils, butter, cream, tomato",180.48,39,Non-Veg
Spicy Prawn Masala,"paneer, butter, cream, tomato, onion",124.16,5,Beverage
Tandoori Chicken Tikka Masala,"okra, onion, tomato, garlic",472.39,16,Starter
Special Mango Kulfi,"okra, onion, tomato, garlic",148.51,13,Dessert
Tandoori Jeera Rice,"okra, onion, tomato, garlic",265.33,34,Combo
Special Chana Masala,"milk, sugar, rose water",162.54,41,Combo
Family Combo,"paneer, butter, cream, tomato, onion",201.01,26,Combo
Classic Chicken Vindaloo,"fish, tomato, onion, spices",453.08,16,Non-Veg
Tandoori Ras Malai,"fish, tomato, onion, spices",419.71,21,Dessert
Badam Halwa,"mango, yogurt, sugar",115.46,29,Dessert
Special Hara Bhara Kebab,"fish, tomato, onion, spices",127.45,38,Beverage
Creamy Veg Korma,"milk, sugar, rose water",565.71,16,Beverage
Creamy Dal Makhani,"rice, yogurt, spices, saffron",496.13,30,Main Course
Special Paneer Pakora,"potato, cauliflower, spices",429.77,38,Dessert
Creamy Fruit Custard,"chicken, butter, cream, tomato, spices",278.31,20,Veg
Special Mix Veg,"spinach, paneer, cream, garlic",625.64,45,Main Course
Dinner Special,"rice, yogurt, spices, saffron",335.13,10,Non-Veg
Spicy Non-Veg Thali,"chicken, butter, cream, tomato, spices",312.33,41,Combo
Spicy Family Combo,"lentils, butter, cream, tomato",523.24,43,Combo
Veg Biryani,"rice, yogurt, spices, saffron",358.59,19,Non-Veg
Creamy Dal Makhani,"lentils, butter, cream, tomato",242.65,17,Main Course
Creamy Bhindi Masala,"fish, tomato, onion, spices",368.8,29,Non-Veg
Classic Gajar Halwa,"egg, onion, tomato, spices",344.97,21,Beverage
Special Butter Chicken,"milk, sugar, rose water",213.32,8,Non-Veg
Creamy Veg Samosa,"flour, garlic, butter",396.15,8,Starter
Spicy Tandoori Platter,"paneer, butter, cream, tomato, onion",453.79,5,Combo
Bhindi Masala,"paneer, butter, cream, tomato, onion",352.44,27,Beverage
Spicy Shahi Paneer,"fish, tomato, onion, spices",404.13,17,Beverage
Creamy Onion Bhaji,"flour, garlic, butter",424.01,22,Dessert
Veg Biryani,"chicken, rice, yogurt, spices",384.62,9,Veg
Classic Dinner Special,"lentils, butter, cream, tomato",588.23,5,Non-Veg
Creamy Chicken Korma,"paneer, butter, cream, tomato, onion",87.74,9,Combo
Special Cheese Corn Balls,"fish, tomato, onion, spices",409.6,19,Non-Veg
Classic Onion Bhaji,"spinach, paneer, cream, garlic",546.1,43,Combo
Creamy Mango Kulfi,"paneer, butter, cream, tomato, onion",526.49,27,Dessert
Chicken Tikka Masala,"noodles, vegetables, soy sauce",277.64,28,Non-Veg
Badam Halwa,"fish, tomato, onion, spices",407.23,19,Dessert
Creamy Masala Chai,"paneer, butter, cream, tomato, onion",230.13,28,Beverage
Special Aloo Gobi,"potato, cauliflower, spices",203.66,8,Non-Veg
Dal Tadka,"milk, sugar, rose water",294.84,44,Combo
Special Gulab Jamun,"potato, cauliflower, spices",648.58,32,Dessert
Creamy Veg Samosa,"paneer, butter, cream, tomato, onion",625.13,21,Starter
Spicy Rice Pudding,"mushroom, capsicum, onion, garlic",543.13,15,Beverage
Executive Lunch,"flour, garlic, butter",231.0,35,Combo
Creamy Jalebi,"milk, sugar, rose water",211.49,34,Dessert
Spicy Cold Coffee,"paneer, butter, cream, tomato, onion",203.0,29,Beverage
Family Combo,"chicken, rice, yogurt, spices",341.45,6,Combo
Special Kheer,"rice, yogurt, spices, saffron",492.95,6,Dessert
Tandoori Badam Milk,"paneer, butter, cream, tomato, onion",312.07,17,Beverage
Creamy Aloo Jeera,"spinach, paneer, cream, garlic",172.41,17,Dessert
Classic Palak Paneer,"noodles, vegetables, soy sauce",452.03,17,Main Course
Creamy Egg Curry,"paneer, butter, cream, tomato, onion",368.82,41,Combo
Butter Milk,"fish, tomato, onion, spices",211.0,23,Beverage
Spicy Veg Samosa,"chicken, rice, yogurt, spices",598.24,5,Beverage
Tandoori Jeera Rice,"lentils, butter, cream, tomato",307.47,28,Combo
Special Rose Milk,"chicken, butter, cream, tomato, spices",571.41,28,Beverage
Creamy Masala Chai,"noodles, vegetables, soy sauce",481.92,19,Beverage
Spicy Hara Bhara Kebab,"chicken, rice, yogurt, spices",131.09,26,Non-Veg
Paneer Tikka,"flour, garlic, butter",352.14,12,Veg
Tandoori Chicken Tikka Masala,"noodles, vegetables, soy sauce",269.44,24,Main Course
Creamy Green Tea,"egg, onion, tomato, spices",212.79,45,Beverage
Classic Palak Paneer,"egg, onion, tomato, spices",151.08,6,Dessert
Spicy Rose Milk,"noodles, vegetables, soy sauce",506.06,11,Beverage
Spicy Badam Halwa,"spinach, paneer, cream, garlic",517.03,23,Dessert
Classic Paneer Pakora,"milk, sugar, rose water",271.09,33,Main Course
Creamy Mix Veg,"spinach, paneer, cream, garlic",213.36,29,Veg
Creamy Paneer Pakora,"rice, yogurt, spices, saffron",301.52,31,Veg
Classic Veg Samosa,"chicken, rice, yogurt, spices",478.62,13,Dessert
Spicy Veg Thali,"spinach, paneer, cream, garlic",115.37,29,Combo
Hot Coffee,"milk, sugar, rose water",616.33,21,Beverage
Spicy Mushroom 65,"egg, onion, tomato, spices",162.75,20,Beverage
Classic Mushroom 65,"paneer, butter, cream, tomato, onion",279.83,27,Dessert
Classic Chocolate Brownie,"fish, tomato, onion, spices",459.57,35,Starter
Paneer Pakora,"okra, onion, tomato, garlic",547.62,33,Starter
Creamy Jalebi,"milk, sugar, rose water",470.55,30,Beverage
Tandoori Mini Thali,"lentils, butter, cream, tomato",589.17,28,Combo
Paneer Pakora,"fish, tomato, onion, spices",275.52,45,Non-Veg
Creamy Chicken 65,"rice, yogurt, spices, saffron",275.14,9,Main Course
Special Executive Lunch,"flour, garlic, butter",305.18,38,Combo
Badam Milk,"lentils, butter, cream, tomato",360.08,24,Beverage
Onion Bhaji,"paneer, butter, cream, tomato, onion",446.99,32,Main Course
Creamy Ras Malai,"chicken, butter, cream, tomato, spices",355.37,34,Dessert
Classic Chicken Biryani,"flour, garlic, butter",580.39,41,Starter
Tandoori Chocolate Brownie,"flour, garlic, butter",292.72,29,Non-Veg
Spicy Veg Samosa,"lentils, butter, cream, tomato",206.23,11,Combo
Special Chicken Malai Tikka,"egg, onion, tomato, spices",213.28,12,Non-Veg
Tandoori Hara Bhara Kebab,"fish, tomato, onion, spices",552.24,37,Non-Veg
Classic Mutton Rogan Josh,"mango, yogurt, sugar",313.9,26,Main Course
Classic Dal Tadka,"spinach, paneer, cream, garlic",599.26,21,Non-Veg
Classic Egg Curry,"lentils, butter, cream, tomato",422.72,38,Main Course
Chana Masala,"mango, yogurt, sugar",522.18,21,Starter
Special Shahi Paneer,"chicken, rice, yogurt, spices",274.5,43,Dessert
Veg Pakora,"lentils, butter, cream, tomato",183.74,6,Non-Veg
Spicy Green Tea,"okra, onion, tomato, garlic",264.38,28,Beverage
Executive Lunch,"egg, onion, tomato, spices",397.09,42,Combo
Tandoori Dinner Special,"fish, tomato, onion, spices",209.56,24,Starter
Tandoori Paneer Pakora,"potato, cauliflower, spices",324.66,29,Dessert
Special Executive Lunch,"chicken, rice, yogurt, spices",140.57,35,Combo
Tandoori Mushroom Masala,"milk, sugar, rose water",326.05,6,Combo
Masala Chai,"milk, sugar, rose water",139.06,10,Beverage
Mix Veg,"chicken, butter, cream, tomato, spices",588.5,28,Non-Veg
Creamy Egg Curry,"mushroom, capsicum, onion, garlic",95.12,22,Non-Veg
Creamy Hara Bhara Kebab,"fish, tomato, onion, spices",160.77,10,Dessert
Creamy Paneer Butter Masala,"egg, onion, tomato, spices",137.09,29,Dessert
Classic Chicken Biryani,"milk, sugar, rose water",406.65,16,Main Course
Classic Mix Veg,"chicken, rice, yogurt, spices",145.45,27,Non-Veg
Fruit Custard,"chicken, rice, yogurt, spices",265.56,14,Veg
Tandoori Mango Kulfi,"egg, onion, tomato, spices",527.19,24,Dessert
Spicy Shahi Paneer,"chicken, rice, yogurt, spices",170.63,14,Dessert
Classic Aloo Gobi,"potato, cauliflower, spices",614.79,18,Main Course
Kheer,"paneer, butter, cream, tomato, onion",498.96,32,Dessert
Creamy Paneer Butter Masala,"lentils, butter, cream, tomato",396.82,7,Veg
Executive Lunch,"okra, onion, tomato, garlic",479.89,33,Combo
Gulab Jamun,"potato, cauliflower, spices",463.9,44,Dessert
Classic Veg Pakora,"noodles, vegetables, soy sauce",409.21,12,Combo
Creamy Hara Bhara Kebab,"lentils, butter, cream, tomato",230.16,21,Dessert
Spicy Cold Coffee,"rice, yogurt, spices, saffron",598.94,37,Beverage
Jeera Rice,"chicken, rice, yogurt, spices",598.86,34,Starter
Classic Ras Malai,"paneer, butter, cream, tomato, onion",99.1,31,Dessert
Special Paneer Pakora,"mango, yogurt, sugar",391.25,6,Combo
Tandoori Gajar Halwa,"okra, onion, tomato, garlic",514.18,27,Dessert
Tandoori Non-Veg Thali,"milk, sugar, rose water",413.44,7,Combo
Special Aloo Gobi,"mango, yogurt, sugar",120.84,39,Non-Veg
Spicy Palak Paneer,"milk, sugar, rose water",224.93,32,Non-Veg
Classic Dal Makhani,"spinach, paneer, cream, garlic",464.17,40,Beverage
Chocolate Brownie,"lentils, butter, cream, tomato",425.85,16,Beverage
Creamy Aloo Gobi,"milk, sugar, rose water",600.06,42,Dessert
Spicy Rice Pudding,"fish, tomato, onion, spices",467.12,30,Non-Veg
Tandoori Shahi Paneer,"potato, cauliflower, spices",387.46,44,Main Course
Spicy Chocolate Brownie,"potato, cauliflower, spices",251.18,9,Veg
Tandoori Hara Bhara Kebab,"fish, tomato, onion, spices",278.84,5,Non-Veg
Masala Chai,"spinach, paneer, cream, garlic",502.8,9,Beverage
Chana Masala,"fish, tomato, onion, spices",643.64,41,Starter
Spicy Papdi Chaat,"spinach, paneer, cream, garlic",508.04,17,Starter
Tandoori Aloo Gobi,"egg, onion, tomato, spices",243.98,22,Beverage
Dal Makhani,"mushroom, capsicum, onion, garlic",588.29,21,Beverage
Special Paneer Butter Masala,"mango, yogurt, sugar",155.72,11,Starter
Creamy Butter Milk,"flour, garlic, butter",621.18,21,Beverage
Tandoori Ras Malai,"chicken, butter, cream, tomato, spices",583.38,10,Dessert
Classic Onion Bhaji,"fish, tomato, onion, spices",118.72,9,Starter
Creamy Bhindi Masala,"flour, garlic, butter",175.54,24,Non-Veg
Kheer,"noodles, vegetables, soy sauce",352.17,22,Beverage
Shahi Paneer,"okra, onion, tomato, garlic",304.55,37,Beverage
Veg Biryani,"lentils, butter, cream, tomato",630.31,9,Non-Veg
Chocolate Brownie,"egg, onion, tomato, spices",447.89,10,Dessert
Spicy Rice Pudding,"flour, garlic, butter",368.83,29,Non-Veg
Spicy Tandoori Chicken,"flour, garlic, butter",625.92,16,Main Course
Classic Veg Korma,"chicken, butter, cream, tomato, spices",191.04,34,Starter
Tandoori Paneer Tikka,"paneer, butter, cream, tomato, onion",160.06,34,Combo
Spicy Veg Pulao,"noodles, vegetables, soy sauce",253.51,40,Veg
Classic Hara Bhara Kebab,"chicken, butter, cream, tomato, spices",430.07,19,Starter
Chicken Tikka,"okra, onion, tomato, garlic",616.91,6,Non-Veg
Classic Veg Samosa,"rice, yogurt, spices, saffron",316.01,21,Combo
Spicy Dal Makhani,"paneer, butter, cream, tomato, onion",384.64,42,Starter
Special Hara Bhara Kebab,"egg, onion, tomato, spices",410.74,7,Combo
Tandoori Hara Bhara Kebab,"chicken, rice, yogurt, spices",312.48,6,Starter
Special Gajar Halwa,"lentils, butter, cream, tomato",637.71,27,Dessert
Creamy Veg Samosa,"chicken, butter, cream, tomato, spices",293.45,40,Beverage
Creamy Aloo Gobi,"flour, garlic, butter",285.54,14,Beverage
Tandoori Veg Thali,"fish, tomato, onion, spices",383.09,20,Combo
Gulab Jamun,"chicken, butter, cream, tomato, spices",603.1,15,Dessert
Onion Bhaji,"flour, garlic, butter",603.0,22,Combo
Tandoori Papdi Chaat,"mango, yogurt, sugar",374.16,13,Veg
Creamy Gajar Halwa,"mushroom, capsicum, onion, garlic",454.34,34,Dessert
Special Palak Paneer,"rice, yogurt, spices, saffron",555.12,34,Combo
Special Non-Veg Thali,"mushroom, capsicum, onion, garlic",133.57,45,Combo
Tandoori Veg Pulao,"mango, yogurt, sugar",186.07,34,Main Course
Special Veg Thali,"flour, garlic, butter",617.13,14,Combo
Tandoori Chicken Vindaloo,"milk, sugar, rose water",463.51,11,Non-Veg
Mushroom 65,"chicken, rice, yogurt, spices",230.42,20,Beverage
Spicy Fresh Lime Water,"okra, onion, tomato, garlic",634.98,23,Non-Veg
Spicy Lemon Soda,"noodles, vegetables, soy sauce",285.33,14,Beverage
Veg Thali,"rice, yogurt, spices, saffron",387.67,23,Combo
Chicken Malai Tikka,"potato, cauliflower, spices",258.68,17,Starter
Special Chicken Tikka Masala,"chicken, butter, cream, tomato, spices",515.18,8,Non-Veg
Classic Mushroom 65,"okra, onion, tomato, garlic",608.26,8,Combo
Tandoori Masala Chai,"mushroom, capsicum, onion, garlic",235.46,15,Beverage
Special Hara Bhara Kebab,"rice, yogurt, spices, saffron",325.5,23,Beverage
Classic Green Tea,"potato, cauliflower, spices",472.4,19,Beverage
Tandoori Egg Curry,"potato, cauliflower, spices",490.03,33,Non-Veg
Classic Tandoori Platter,"noodles, vegetables, soy sauce",338.91,13,Combo
Special Mix Veg,"mushroom, capsicum, onion, garlic",401.72,32,Non-Veg
Tandoori Mini Thali,"rice, yogurt, spices, saffron",105.05,23,Combo
Special Dal Makhani,"rice, yogurt, spices, saffron",360.34,5,Non-Veg
Hara Bhara Kebab,"chicken, rice, yogurt, spices",279.99,5,Veg
Tandoori Gajar Halwa,"okra, onion, tomato, garlic",625.5,35,Dessert
Tandoori Kadai Paneer,"paneer, butter, cream, tomato, onion",114.23,26,Dessert
Special Aloo Jeera,"noodles, vegetables, soy sauce",288.22,7,Main Course
Special Green Tea,"chicken, butter, cream, tomato, spices",304.44,7,Beverage
Special Chicken Vindaloo,"mango, yogurt, sugar",263.04,25,Beverage
Rose Milk,"chicken, butter, cream, tomato, spices",363.76,42,Beverage
Tandoori Palak Paneer,"noodles, vegetables, soy sauce",362.21,22,Beverage
Tandoori Jalebi,"egg, onion, tomato, spices",232.23,21,Dessert
Special Aloo Jeera,"chicken, butter, cream, tomato, spices",558.55,19,Beverage
Classic Fruit Custard,"chicken, rice, yogurt, spices",399.34,12,Main Course
Spicy Mutton Rogan Josh,"chicken, rice, yogurt, spices",318.33,41,Main Course
Spicy Cheese Corn Balls,"spinach, paneer, cream, garlic",100.04,35,Main Course
Classic Chicken Korma,"chicken, butter, cream, tomato, spices",631.98,44,Non-Veg
Veg Samosa,"fish, tomato, onion, spices",148.64,42,Main Course
Creamy Chicken Korma,"okra, onion, tomato, garlic",341.52,14,Beverage
Tandoori Paneer Tikka,"paneer, butter, cream, tomato, onion",160.06,34,Combo
Spicy Veg Pulao,"noodles, vegetables, soy sauce",253.51,40,Veg
Classic Hara Bhara Kebab,"chicken, butter, cream, tomato, spices",430.07,19,Starter
Chicken Tikka,"okra, onion, tomato, garlic",616.91,6,Non-Veg
Classic Veg Samosa,"rice, yogurt, spices, saffron",316.01,21,Combo
Spicy Dal Makhani,"paneer, butter, cream, tomato, onion",384.64,42,Starter
Special Hara Bhara Kebab,"egg, onion, tomato, spices",410.74,7,Combo
Tandoori Hara Bhara Kebab,"chicken, rice, yogurt, spices",312.48,6,Starter
Special Gajar Halwa,"lentils, butter, cream, tomato",637.71,27,Dessert
Creamy Veg Samosa,"chicken, butter, cream, tomato, spices",293.45,40,Beverage
Creamy Aloo Gobi,"flour, garlic, butter",285.54,14,Beverage
Tandoori Veg Thali,"fish, tomato, onion, spices",383.09,20,Combo
Gulab Jamun,"chicken, butter, cream, tomato, spices",603.1,15,Dessert
Onion Bhaji,"flour, garlic, butter",603.0,22,Combo
Tandoori Papdi Chaat,"mango, yogurt, sugar",374.16,13,Veg
Creamy Gajar Halwa,"mushroom, capsicum, onion, garlic",454.34,34,Dessert
Special Palak Paneer,"rice, yogurt, spices, saffron",555.12,34,Combo
Special Non-Veg Thali,"mushroom, capsicum, onion, garlic",133.57,45,Combo
Tandoori Veg Pulao,"mango, yogurt, sugar",186.07,34,Main Course
Special Veg Thali,"flour, garlic, butter",617.13,14,Combo
Tandoori Chicken Vindaloo,"milk, sugar, rose water",463.51,11,Non-Veg
Mushroom 65,"chicken, rice, yogurt, spices",230.42,20,Beverage
Spicy Fresh Lime Water,"okra, onion, tomato, garlic",634.98,23,Non-Veg
Spicy Lemon Soda,"noodles, vegetables, soy sauce",285.33,14,Beverage
Veg Thali,"rice, yogurt, spices, saffron",387.67,23,Combo
Chicken Malai Tikka,"potato, cauliflower, spices",258.68,17,Starter
Special Chicken Tikka Masala,"chicken, butter, cream, tomato, spices",515.18,8,Non-Veg
Classic Mushroom 65,"okra, onion, tomato, garlic",608.26,8,Combo
Tandoori Masala Chai,"mushroom, capsicum, onion, garlic",235.46,15,Beverage
Special Hara Bhara Kebab,"rice, yogurt, spices, saffron",325.5,23,Beverage
Classic Green Tea,"potato, cauliflower, spices",472.4,19,Beverage
Tandoori Egg Curry,"potato, cauliflower, spices",490.03,33,Non-Veg
Classic Tandoori Platter,"noodles, vegetables, soy sauce",338.91,13,Combo
Special Mix Veg,"mushroom, capsicum, onion, garlic",401.72,32,Non-Veg
Tandoori Mini Thali,"rice, yogurt, spices, saffron",105.05,23,Combo
Special Dal Makhani,"rice, yogurt, spices, saffron",360.34,5,Non-Veg
Hara Bhara Kebab,"chicken, rice, yogurt, spices",279.99,5,Veg
Tandoori Gajar Halwa,"okra, onion, tomato, garlic",625.5,35,Dessert
Tandoori Kadai Paneer,"paneer, butter, cream, tomato, onion",114.23,26,Dessert
Special Aloo Jeera,"noodles, vegetables, soy sauce",288.22,7,Main Course
Special Green Tea,"chicken, butter, cream, tomato, spices",304.44,7,Beverage
Special Chicken Vindaloo,"mango, yogurt, sugar",263.04,25,Beverage
Rose Milk,"chicken, butter, cream, tomato, spices",363.76,42,Beverage
Tandoori Palak Paneer,"noodles, vegetables, soy sauce",362.21,22,Beverage
Tandoori Jalebi,"egg, onion, tomato, spices",232.23,21,Dessert
Special Aloo Jeera,"chicken, butter, cream, tomato, spices",558.55,19,Beverage
Classic Fruit Custard,"chicken, rice, yogurt, spices",399.34,12,Main Course
Spicy Mutton Rogan Josh,"chicken, rice, yogurt, spices",318.33,41,Main Course
Spicy Cheese Corn Balls,"spinach, paneer, cream, garlic",100.04,35,Main Course
Classic Chicken Korma,"chicken, butter, cream, tomato, spices",631.98,44,Non-Veg
Veg Samosa,"fish, tomato, onion, spices",148.64,42,Main Course
Creamy Chicken Korma,"okra, onion, tomato, garlic",341.52,14,Beverage
Tandoori Paneer Tikka,"paneer, butter, cream, tomato, onion",160.06,34,Combo
Spicy Veg Pulao,"noodles, vegetables, soy sauce",253.51,40,Veg
Classic Hara Bhara Kebab,"chicken, butter, cream, tomato, spices",430.07,19,Starter
Chicken Tikka,"okra, onion, tomato, garlic",616.91,6,Non-Veg
Classic Veg Samosa,"rice, yogurt, spices, saffron",316.01,21,Combo
Spicy Dal Makhani,"paneer, butter, cream, tomato, onion",384.64,42,Starter
Special Hara Bhara Kebab,"egg, onion, tomato, spices",410.74,7,Combo
Tandoori Hara Bhara Kebab,"chicken, rice, yogurt, spices",312.48,6,Starter
Special Gajar Halwa,"lentils, butter, cream, tomato",637.71,27,Dessert
Creamy Veg Samosa,"chicken, butter, cream, tomato, spices",293.45,40,Beverage
Creamy Aloo Gobi,"flour, garlic, butter",285.54,14,Beverage
Tandoori Veg Thali,"fish, tomato, onion, spices",383.09,20,Combo
Gulab Jamun,"chicken, butter, cream, tomato, spices",603.1,15,Dessert
Onion Bhaji,"flour, garlic, butter",603.0,22,Combo
Tandoori Papdi Chaat,"mango, yogurt, sugar",374.16,13,Veg
Creamy Gajar Halwa,"mushroom, capsicum, onion, garlic",454.34,34,Dessert
Special Palak Paneer,"rice, yogurt, spices, saffron",555.12,34,Combo
Special Non-Veg Thali,"mushroom, capsicum, onion, garlic",133.57,45,Combo
Tandoori Veg Pulao,"mango, yogurt, sugar",186.07,34,Main Course
Special Veg Thali,"flour, garlic, butter",617.13,14,Combo
Tandoori Chicken Vindaloo,"milk, sugar, rose water",463.51,11,Non-Veg
Mushroom 65,"chicken, rice, yogurt, spices",230.42,20,Beverage
Spicy Fresh Lime Water,"okra, onion, tomato, garlic",634.98,23,Non-Veg
Spicy Lemon Soda,"noodles, vegetables, soy sauce",285.33,14,Beverage
Veg Thali,"rice, yogurt, spices, saffron",387.67,23,Combo
Chicken Malai Tikka,"potato, cauliflower, spices",258.68,17,Starter
Special Chicken Tikka Masala,"chicken, butter, cream, tomato, spices",515.18,8,Non-Veg
Classic Mushroom 65,"okra, onion, tomato, garlic",608.26,8,Combo
Tandoori Masala Chai,"mushroom, capsicum, onion, garlic",235.46,15,Beverage
Special Hara Bhara Kebab,"rice, yogurt, spices, saffron",325.5,23,Beverage
Classic Green Tea,"potato, cauliflower, spices",472.4,19,Beverage
Tandoori Egg Curry,"potato, cauliflower, spices",490.03,33,Non-Veg
Classic Tandoori Platter,"noodles, vegetables, soy sauce",338.91,13,Combo
Special Mix Veg,"mushroom, capsicum, onion, garlic",401.72,32,Non-Veg
Tandoori Mini Thali,"rice, yogurt, spices, saffron",105.05,23,Combo
Special Dal Makhani,"rice, yogurt, spices, saffron",360.34,5,Non-Veg
Hara Bhara Kebab,"chicken, rice, yogurt, spices",279.99,5,Veg
Tandoori Gajar Halwa,"okra, onion, tomato, garlic",625.5,35,Dessert
Tandoori Kadai Paneer,"paneer, butter, cream, tomato, onion",114.23,26,Dessert
Special Aloo Jeera,"noodles, vegetables, soy sauce",288.22,7,Main Course
Special Green Tea,"chicken, butter, cream, tomato, spices",304.44,7,Beverage
Special Chicken Vindaloo,"mango, yogurt, sugar",263.04,25,Beverage
Rose Milk,"chicken, butter, cream, tomato, spices",363.76,42,Beverage
Tandoori Palak Paneer,"noodles, vegetables, soy sauce",362.21,22,Beverage
Tandoori Jalebi,"egg, onion, tomato, spices",232.23,21,Dessert
Special Aloo Jeera,"chicken, butter, cream, tomato, spices",558.55,19,Beverage
Classic Fruit Custard,"chicken, rice, yogurt, spices",399.34,12,Main Course
Spicy Mutton Rogan Josh,"chicken, rice, yogurt, spices",318.33,41,Main Course
Spicy Cheese Corn Balls,"spinach, paneer, cream, garlic",100.04,35,Main Course
Classic Chicken Korma,"chicken, butter, cream, tomato, spices",631.98,44,Non-Veg
Veg Samosa,"fish, tomato, onion, spices",148.64,42,Main Course
Creamy Chicken Korma,"okra, onion, tomato, garlic",341.52,14,Beverage
Tandoori Paneer Tikka,"paneer, butter, cream, tomato, onion",160.06,34,Combo
Spicy Veg Pulao,"noodles, vegetables, soy sauce",253.51,40,Veg
Classic Hara Bhara Kebab,"chicken, butter, cream, tomato, spices",430.07,19,Starter
Chicken Tikka,"okra, onion, tomato, garlic",616.91,6,Non-Veg
Classic Veg Samosa,"rice, yogurt, spices, saffron",316.01,21,Combo
Spicy Dal Makhani,"paneer, butter, cream, tomato, onion",384.64,42,Starter
Special Hara Bhara Kebab,"egg, onion, tomato, spices",410.74,7,Combo
Tandoori Hara Bhara Kebab,"chicken, rice, yogurt, spices",312.48,6,Starter
Special Gajar Halwa,"lentils, butter, cream, tomato",637.71,27,Dessert
Creamy Veg Samosa,"chicken, butter, cream, tomato, spices",293.45,40,Beverage
Creamy Aloo Gobi,"flour, garlic, butter",285.54,14,Beverage
Tandoori Veg Thali,"fish, tomato, onion, spices",383.09,20,Combo
Gulab Jamun,"chicken, butter, cream, tomato, spices",603.1,15,Dessert
Onion Bhaji,"flour, garlic, butter",603.0,22,Combo
Tandoori Papdi Chaat,"mango, yogurt, sugar",374.16,13,Veg
